address,postcode,property_type,bedrooms,tenure,last_sold_date,last_sold_price
"23, Peckforton Close, Gatley, Cheadle 29 Terraced 3 Freehold Previo",SK8 4JA,Terraced,3.0,Freehold,26 Sep 2025,332000
"5, Oak Road, Cheadle 22 Semi-Detached 4 Freehold P",SK8 1ED,Detached,4.0,Freehold,26 Sep 2025,570000
"69, Calderbrook Drive, Cheadle 15 Detached 3 Freehold Previo",SK8 5RZ,Detached,3.0,Freehold,26 Sep 2025,450000
"43, Brandon Avenue, Heald Green, Cheadle 15 Semi-Detached 2 Freehold P",SK8 3SG,Detached,2.0,Freehold,26 Sep 2025,320500
"56, Ack Lane West, Cheadle Hulme, Cheadle 24 Detached 5 Freehold Previo",SK8 7EL,Detached,5.0,Freehold,25 Sep 2025,690000
"5, Ruthin Avenue, Cheadle Hulme, Cheadle 20 Detached 2 Leasehold Previ",SK8 6BT,Detached,2.0,Leasehold,24 Sep 2025,369190
"25, Ernest Street, Cheadle 12 Terraced 3 Freehold Previo",SK8 1PN,Terraced,3.0,Freehold,24 Sep 2025,342500
"1, Dixon Court, Cheadle Flat Leasehold Previous trans",SK8 1DE,Flat,,Leasehold,20 Sep 2025,171000
"7, Astbury Walk, Cheadle 17 Terraced 3 Freehold Previo",SK8 2NB,Terraced,3.0,Freehold,19 Sep 2025,235000
"86, Buckingham Road, Cheadle Hulme, Cheadle 15 Semi-Detached 3 Freehold P",SK8 5NA,Detached,3.0,Freehold,19 Sep 2025,410000
"129, Glandon Drive, Cheadle Hulme, Cheadle 24 Detached 4 Freehold Previo",SK8 7HD,Detached,4.0,Freehold,18 Sep 2025,626000
"13, Green Walk, Gatley, Cheadle 37 Terraced 3 Freehold Previo",SK8 4BN,Terraced,3.0,Freehold,17 Sep 2025,283000
"14, Hawthorn Road, Gatley, Cheadle 14 Semi-Detached 3 Freehold P",SK8 4LX,Detached,3.0,Freehold,15 Sep 2025,400000
"52, Borrowdale Avenue, Gatley, Cheadle 12 Semi-Detached 3 Freehold P",SK8 4QF,Detached,3.0,Freehold,15 Sep 2025,383000
"14, 35 Moseley Court, Moseley Road, Cheadle Hulme, Cheadle 11 Flat 2 Leasehold Previous",SK8 5GA,Flat,2.0,Leasehold,12 Sep 2025,248000
"3, Bladen Close, Cheadle Hulme, Cheadle 14 Detached 3 Freehold Previo",SK8 5RU,Detached,3.0,Freehold,12 Sep 2025,315000
"73, Cheadle Road, Cheadle Hulme, Cheadle 8 Terraced 2 Freehold Previou",SK8 5DW,Terraced,2.0,Freehold,11 Sep 2025,250000
"3, Pendlebury Road, Gatley, Cheadle 25 Semi-Detached 3 Freehold P",SK8 4BH,Detached,3.0,Freehold,11 Sep 2025,345000
"16, Greenbank Road, Gatley, Cheadle 11 Semi-Detached 3 Freehold P",SK8 4DW,Detached,3.0,Freehold,9 Sep 2025,366057
"7, Saville Road, Gatley, Cheadle 16 Semi-Detached 3 Freehold P",SK8 4BY,Detached,3.0,Freehold,8 Sep 2025,384044
"7, Saville Road, Gatley, Cheadle 16 Semi-Detached 3 Freehold P",SK8 4BY,Detached,3.0,Freehold,8 Sep 2025,340000
"69, Hulme Hall Road, Cheadle Hulme, Cheadle 17 Detached 4 Freehold Previo",SK8 6JZ,Detached,4.0,Freehold,5 Sep 2025,748000
"40, Woking Road, Cheadle Hulme, Cheadle 19 Semi-Detached 4 Freehold P",SK8 6NZ,Detached,4.0,Freehold,5 Sep 2025,485000
"7, Brooklyn Road, Cheadle Terraced Freehold Previous tr",SK8 1BS,Terraced,,Freehold,5 Sep 2025,280000
"33, Long Croft Lane, Cheadle Hulme, Cheadle 13 Semi-Detached 3 Freehold P",SK8 6SE,Detached,3.0,Freehold,5 Sep 2025,345000
"6, Westwood Road, Heald Green, Cheadle 25 Detached 3 Freehold Previo",SK8 3JN,Detached,3.0,Freehold,5 Sep 2025,400000
